name,RAM,CPU,Storage,Resolution,Refresh rate,GPU,Price
MSI Raider GE78HX 13VH-085CZ,64 GB,Intel Core i9 13950HX Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,240 Hz,2 000 GB,"79 990,-"
Dell XPS 15 9530 Touch,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3456 × 2160 px,60 Hz,Windows 11 Pro,"74 890,-"
Lenovo Legion 9 Carbon Black celokovový,32 GB,Intel Core i9 13980HX Raptor Lake,1 000 GB (1 TB),3200 × 2000 px,16:10,2 280 MHz,"101 989,-"
Razer Blade 16 QHD+,32 GB,Intel Core i9 13950HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,1 000 GB,"99 990,-"
Lenovo Legion 9 Carbon Black celokovový,64 GB,Intel Core i9 13980HX Raptor Lake,2 000 GB (2 TB),3200 × 2000 px,16:10,2 040 MHz,"125 989,-"
Lenovo Legion Pro 5 16IRX8 Onyx Grey kovový,32 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,NVIDIA GeForce,"43 090,-"
Lenovo Yoga Pro 7 14ARP8 Storm Grey celokovový,16 GB,AMD Ryzen 7 7735HS,1 000 GB (1 TB),3072 × 1920 px,120 Hz,Windows 11 Pro,"34 990,-"
MSI Thin GF63 12UC-811CZ,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","19 990,-"
Acer Aspire 7 Charcoal Black,16 GB,AMD Ryzen 5 5625U,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,1 ×,"18 990,-"
MSI Cyborg 15 A12VF-080CZ,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"25 990,-"
MSI GF63 Thin 11UC-492CZ,16 GB,Intel Core i5 11400H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"24 890,-"
